"","modzcta","casecount","week_ending"
"470",11229,27,2020-08-29
"471",11230,48,2020-08-29
"472",11231,7,2020-08-29
"473",11232,5,2020-08-29
"474",11233,9,2020-08-29
"475",11234,22,2020-08-29
"476",11235,18,2020-08-29
"477",11236,14,2020-08-29
"478",11237,5,2020-08-29
"479",11238,9,2020-08-29
"480",11239,4,2020-08-29
"481",11354,11,2020-08-29
"482",11355,9,2020-08-29
"483",11356,4,2020-08-29
"484",11357,6,2020-08-29
"485",11358,0,2020-08-29
"486",11360,9,2020-08-29
"487",11361,4,2020-08-29
"488",11362,2,2020-08-29
"489",11363,0,2020-08-29
"490",11364,4,2020-08-29
"491",11365,5,2020-08-29
"492",11366,2,2020-08-29
"493",11367,12,2020-08-29
"494",11368,22,2020-08-29
"495",11369,4,2020-08-29
"496",11370,7,2020-08-29
"497",11372,18,2020-08-29
"498",11373,10,2020-08-29
"499",11374,12,2020-08-29
"500",11375,26,2020-08-29
"501",11377,6,2020-08-29
"502",11378,4,2020-08-29
"503",11379,3,2020-08-29
"504",11385,15,2020-08-29
"505",11411,2,2020-08-29
"506",11412,3,2020-08-29
"507",11413,3,2020-08-29
"508",11414,5,2020-08-29
"509",11415,6,2020-08-29
"510",11416,7,2020-08-29
"511",11417,2,2020-08-29
"512",11418,5,2020-08-29
"513",11419,8,2020-08-29
"514",11420,12,2020-08-29
"515",11421,5,2020-08-29
"516",11422,4,2020-08-29
"517",11423,8,2020-08-29
"518",11426,2,2020-08-29
"519",11427,3,2020-08-29
"520",11428,3,2020-08-29
"521",11429,5,2020-08-29
"522",11432,12,2020-08-29
"523",11433,5,2020-08-29
"524",11434,11,2020-08-29
"525",11435,12,2020-08-29
"526",11436,2,2020-08-29
"527",11691,42,2020-08-29
"528",11692,1,2020-08-29
"529",11693,2,2020-08-29
"530",11694,3,2020-08-29
"531",11697,1,2020-08-29
"532",10001,8,2020-09-05
"533",10002,6,2020-09-05
"534",10003,11,2020-09-05
"535",10004,2,2020-09-05
"536",10005,4,2020-09-05
"537",10006,5,2020-09-05
"538",10007,1,2020-09-05
"539",10009,8,2020-09-05
"540",10010,5,2020-09-05
"541",10011,11,2020-09-05
"542",10012,7,2020-09-05
"543",10013,4,2020-09-05
"544",10014,1,2020-09-05
"545",10016,8,2020-09-05
"546",10017,0,2020-09-05
"547",10018,0,2020-09-05
"548",10019,5,2020-09-05
"549",10021,9,2020-09-05
"550",10022,3,2020-09-05
"551",10023,6,2020-09-05
"552",10024,6,2020-09-05
"553",10025,13,2020-09-05
"554",10026,11,2020-09-05
"555",10027,14,2020-09-05
"556",10028,6,2020-09-05
"557",10029,10,2020-09-05
"558",10030,4,2020-09-05
"559",10031,11,2020-09-05
"560",10032,15,2020-09-05
"561",10033,15,2020-09-05
"562",10034,9,2020-09-05
"563",10035,4,2020-09-05
"564",10036,4,2020-09-05
"565",10037,8,2020-09-05
"566",10038,8,2020-09-05
"567",10039,2,2020-09-05
"568",10040,8,2020-09-05
"569",10044,1,2020-09-05
"570",10065,4,2020-09-05
"571",10069,0,2020-09-05
"572",10075,6,2020-09-05
"573",10128,10,2020-09-05
"574",10280,0,2020-09-05
"575",10282,1,2020-09-05
"576",10301,11,2020-09-05
"577",10302,1,2020-09-05
"578",10303,5,2020-09-05
"579",10304,17,2020-09-05
"580",10305,8,2020-09-05
"581",10306,19,2020-09-05
"582",10307,3,2020-09-05
"583",10308,12,2020-09-05
"584",10309,20,2020-09-05
"585",10310,10,2020-09-05
"586",10312,11,2020-09-05
"587",10314,38,2020-09-05
"588",10451,11,2020-09-05
"589",10452,21,2020-09-05
"590",10453,15,2020-09-05
"591",10454,5,2020-09-05
"592",10455,9,2020-09-05
"593",10456,17,2020-09-05
"594",10457,19,2020-09-05
"595",10458,7,2020-09-05
"596",10459,14,2020-09-05
"597",10460,13,2020-09-05
"598",10461,19,2020-09-05
"599",10462,15,2020-09-05
"600",10463,24,2020-09-05
"601",10464,0,2020-09-05
"602",10465,10,2020-09-05
"603",10466,14,2020-09-05
"604",10467,26,2020-09-05
"605",10468,12,2020-09-05
"606",10469,8,2020-09-05
"607",10470,8,2020-09-05
"608",10471,8,2020-09-05
"609",10472,7,2020-09-05
"610",10473,9,2020-09-05
"611",10474,0,2020-09-05
"612",10475,11,2020-09-05
"613",11004,3,2020-09-05
"614",11101,7,2020-09-05
"615",11102,8,2020-09-05
"616",11103,12,2020-09-05
"617",11104,4,2020-09-05
"618",11105,10,2020-09-05
"619",11106,8,2020-09-05
"620",11109,0,2020-09-05
"621",11201,3,2020-09-05
"622",11203,12,2020-09-05
"623",11204,38,2020-09-05
"624",11205,3,2020-09-05
"625",11206,16,2020-09-05
"626",11207,21,2020-09-05
"627",11208,26,2020-09-05
"628",11209,17,2020-09-05
"629",11210,29,2020-09-05
"630",11211,17,2020-09-05
"631",11212,5,2020-09-05
"632",11213,23,2020-09-05
"633",11214,28,2020-09-05
"634",11215,6,2020-09-05
"635",11216,7,2020-09-05
"636",11217,5,2020-09-05
"637",11218,16,2020-09-05
"638",11219,40,2020-09-05
"639",11220,21,2020-09-05
"640",11221,19,2020-09-05
"641",11222,5,2020-09-05
"642",11223,39,2020-09-05
"643",11224,14,2020-09-05
"644",11225,9,2020-09-05
"645",11226,11,2020-09-05
"646",11228,6,2020-09-05
"647",11229,30,2020-09-05
"648",11230,60,2020-09-05
"649",11231,6,2020-09-05
"650",11232,4,2020-09-05
"651",11233,9,2020-09-05
"652",11234,38,2020-09-05
"653",11235,12,2020-09-05
"654",11236,20,2020-09-05
"655",11237,6,2020-09-05
"656",11238,10,2020-09-05
"657",11239,1,2020-09-05
"658",11354,13,2020-09-05
"659",11355,13,2020-09-05
"660",11356,6,2020-09-05
"661",11357,9,2020-09-05
"662",11358,5,2020-09-05
"663",11360,3,2020-09-05
"664",11361,5,2020-09-05
"665",11362,2,2020-09-05
"666",11363,1,2020-09-05
"667",11364,3,2020-09-05
"668",11365,9,2020-09-05
"669",11366,6,2020-09-05
"670",11367,14,2020-09-05
"671",11368,21,2020-09-05
"672",11369,6,2020-09-05
"673",11370,5,2020-09-05
"674",11372,11,2020-09-05
