"","week_ending","modzcta","pop_est","casecount","caserate_100k","testcount","testrate_100k","testpos"
"91",2020-08-08,11203,75451,8.2317041,10.91,1471.671755,1950.5,0.559343758010767
"92",2020-08-08,11204,76978,21.9695212,28.54,793.874114,1031.3,2.76738097546786
"93",2020-08-08,11205,46064,9.143704,19.85,846.4444256,1837.54,1.0802485932279
"94",2020-08-08,11206,88349,10.1866397,11.53,1703.6072623,1928.27,0.597945308488956
"95",2020-08-08,11207,91972,19.6268248,21.34,1860.4739964,2022.87,1.05493679771809
"96",2020-08-08,11208,98660,22.711532,23.02,1710.66574,1733.9,1.32764288597958
"97",2020-08-08,11209,67809,19.0814526,28.14,1142.9681613,1685.57,1.6694649287778
"98",2020-08-08,11210,67040,10.203488,15.22,1007.329632,1502.58,1.01292443663565
"99",2020-08-08,11211,102624,21.2021184,20.66,2115.7271712,2061.63,1.00211968199919
"100",2020-08-08,11212,76527,9.3133359,12.17,1816.7739381,2374.03,0.512630421688016
"101",2020-08-08,11213,66295,10.262466,15.48,1209.910268,1825.04,0.848200587384386
"102",2020-08-08,11214,92946,17.0277072,18.32,1142.6223564,1229.34,1.4902305302032
"103",2020-08-08,11215,70156,13.0981252,18.67,1550.7492708,2210.43,0.844632039919835
"104",2020-08-08,11216,56308,7.1905316,12.77,1282.7750712,2278.14,0.560545006013678
"105",2020-08-08,11217,41407,7.0930191,17.13,1052.6321912,2542.16,0.673836422569783
"106",2020-08-08,11218,74508,10.0660308,13.51,1206.2919708,1619.01,0.834460565407255
"107",2020-08-08,11219,90036,13.9915944,15.54,1110.4229916,1233.31,1.26002383828883
"108",2020-08-08,11220,95643,39.4336089,41.23,1603.646181,1676.7,2.45899683902905
"109",2020-08-08,11221,83835,17.4963645,20.87,1717.0330185,2048.11,1.01898823793644
"110",2020-08-08,11222,36492,10.1009856,27.68,982.9266168,2693.54,1.0276439184122
"111",2020-08-08,11223,81789,15.0573549,18.41,1034.7617124,1265.16,1.45515191754403
"112",2020-08-08,11224,46707,5.0490267,10.81,834.794211,1787.3,0.604822917249483
"113",2020-08-08,11225,58882,5.1168458,8.69,1145.6199684,1945.62,0.446644257357552
"114",2020-08-08,11226,100277,10.2984479,10.27,2157.8808184,2151.92,0.477248224841072
"115",2020-08-08,11228,44994,7.0010664,15.56,721.1773302,1602.83,0.970782927696637
"116",2020-08-08,11229,83615,18.0190325,21.55,1116.1181045,1334.83,1.61443779357671
"117",2020-08-08,11230,89075,19.0353275,21.37,1266.6375925,1421.99,1.5028235079009
"118",2020-08-08,11231,37845,6.0741225,16.05,802.9384425,2121.65,0.756486696674758
"119",2020-08-08,11232,27602,19.362803,70.15,573.7324118,2078.59,3.3748839357449
"120",2020-08-08,11233,76819,13.4356431,17.49,1252.6951149,1630.71,1.07253895542432
"121",2020-08-08,11234,95666,24.4139632,25.52,1543.9822738,1613.93,1.58123338682595
"122",2020-08-08,11235,78128,20.9851808,26.86,1259.8765024,1612.58,1.66565379702092
"123",2020-08-08,11236,100331,16.5245157,16.47,2458.7616515,2450.65,0.672066594576949
"124",2020-08-08,11237,49310,17.465602,35.42,967.698888,1962.48,1.80485915780033
"125",2020-08-08,11238,54540,6.10848,11.2,1529.808822,2804.93,0.399296952152104
"126",2020-08-08,11239,13244,7.11865,53.75,260.3584984,1965.86,2.73417232152849
"127",2020-08-08,11354,55200,14.32992,25.96,1511.0724,2737.45,0.948327823339239
